"cz","Name","Density_of_Jobs_in_2013"
"cz11403","Sault Ste. Marie, MI",6.311
"cz38802","The Dalles, OR & WA",6.27
"cz29303","Winfield, KS",6.225
"cz29003","Dodge City, KS",6.179
"cz29004","Great Bend, KS",6.122
"cz35702","Burley, ID",6.118
"cz26103","Brookfield, MO",6.113
"cz34402","Bozeman, MT",6.053
"cz30801","Hobbs, NM & TX",6.04
"cz34503","Kalispell, MT",6.026
"cz28609","Lexington, NE",5.829
"cz33602","Altus, OK",5.802
"cz27007","Huron, SD",5.751
"cz29506","Bethany, MO",5.64
"cz21001","Ashland, WI",5.482
"cz10802","Demopolis, AL",5.465
"cz26703","Thief River Falls, MN",5.437
"cz32701","Brownwood, TX",5.362
"cz30904","Pampa, TX",5.329
"cz26410","Dickinson, ND",5.267
"cz20002","Calais, ME",5.183
"cz34603","Casper, WY",5.103
"cz34102","Anchorage, AK",5.096
"cz30701","Roswell, NM",5.015
"cz35401","Flagstaff, AZ & UT",4.975
"cz29202","Marysville, KS",4.914
"cz31502","Pearsall, TX",4.913
"cz28306","North Platte, NE",4.848
"cz26601","Milbank, MN & SD",4.806
"cz29102","Superior, NE",4.658
"cz20003","Presque Isle, ME",4.64
"cz32602","Graham, TX",4.633
"cz32402","Sweetwater, TX",4.614
"cz31004","Liberal, KS & OK",4.612
"cz34404","Butte-Silver Bow, MT",4.603
"cz31007","Dumas, TX",4.542
"cz28703","Granby, CO",4.472
"cz27701","Scottsbluff, NE",4.459
"cz30902","Littlefield, TX",4.444
"cz26605","Aberdeen, SD",4.308
"cz32401","Big Spring, TX",4.298
"cz32403","Snyder, TX",4.207
"cz36303","Jackson, ID & WY",4.161
"cz26105","Polk, MO",4.158
"cz30501","Woodward, OK",4.119
"cz31002","Ulysses, KS",4.07
"cz34203","Great Falls, MT",3.946
"cz27008","Parkston, SD",3.838
"cz27011","Pierre, SD",3.833
"cz31501","Crystal City, TX",3.759
"cz38602","Colville, WA",3.736
"cz26803","Jamestown, ND",3.682
"cz33603","Frederick, OK",3.658
"cz29103","Beloit, KS",3.635
"cz31005","Perryton, TX",3.577
"cz29001","Pratt, KS",3.568
"cz34501","Bonners Ferry, ID",3.557
"cz26001","Roseau, MN",3.528
"cz28704","Laramie, CO & WY",3.511
